N,n_newtonDefault,o_newtonDefault
10,0.2406,0.2433
32,0.2465,0.2455
50,0.2383,0.2592
64,0.1804,0.1958
100,0.0460,0.0432
128,0.0412,0.0637
200,0.1722,0.1140
250,0.1920,0.2021
256,0.2080,0.2047
300,0.2258,0.2276
400,0.2420,0.2414
512,0.2178,0.2471
600,0.2476,0.2470
1000,0.2418,0.2412
1024,0.2232,0.2516
2000,0.2098,0.2105
2048,0.2035,0.2283
3000,0.1947,0.1939
4096,0.1876,0.1937
