N,n_newtonDefault,o_newtonDefault
10,0.039880,
32,0.027402,
50,0.028967,
64,0.029949,
100,0.034002,
128,0.039783,
200,0.066797,
250,0.102368,
256,0.109336,
300,0.153249,
400,0.317080,
512,0.616816,
600,0.945818,
1000,5.174066,
1024,5.945717,
2000,63.435300,
2048,70.772940,
3000,226.771400,
4096,579.323800,
