N,n_newtonGS,o_newtonGS
10,270.7636,260.2326
32,299.2674,289.7684
50,333.5641,319.7008
64,355.9478,364.8834
100,486.5141,288.0887
128,612.5576,876.9187
200,3298.3448,4815.2217
250,5757.8581,5633.6232
256,5853.8128,5693.9999
300,6288.4468,7266.8135
400,6886.4698,8133.8767
512,7214.4449,8715.0422
600,7364.3819,8959.4005
1000,9821.5215,11920.9397
1024,9840.4514,12249.5911
2000,13472.3739,16274.3180
2048,13488.7076,17051.2418
3000,13665.1578,17307.2050
4096,13727.9115,17623.9293
