N,n_newtonGS_hessian,o_newtonGS_hessian
10,0.2379,0.2464
32,0.2605,0.2503
50,0.2468,0.2523
64,0.2665,0.2173
100,0.2514,0.2256
128,0.2644,0.2117
200,0.2832,0.2521
250,0.2758,0.2254
256,0.2739,0.2278
300,0.2669,0.2153
400,0.2602,0.2102
512,0.2561,0.2188
600,0.2543,0.2231
1000,0.2508,0.2318
1024,0.2506,0.2299
2000,0.2499,0.2396
2048,0.2499,0.2382
3000,0.2498,0.2428
4096,0.2495,0.2406
