N,n_newtonGS_hessian,o_newtonGS_hessian
10,0.000018,0.000021
32,0.000156,0.000127
50,0.000356,0.000299
64,0.000598,0.000460
100,0.001365,0.001104
128,0.002230,0.001802
200,0.005385,0.004382
250,0.008345,0.007009
256,0.009016,0.007271
300,0.012053,0.009834
400,0.021475,0.017172
512,0.034966,0.028428
600,0.048415,0.039633
1000,0.133612,0.108286
1024,0.139952,0.114601
2000,0.531577,0.423879
2048,0.557794,0.452397
3000,1.194391,0.951877
4096,2.222835,1.807053
