N,n_newtonGS,o_newtonGS
10,0.027865,0.027415
32,0.029013,0.028377
50,0.030166,0.029589
64,0.031350,0.030888
100,0.036149,0.060557
128,0.040290,0.039377
200,0.063543,0.059201
250,0.085004,0.075953
256,0.087726,0.078096
300,0.111775,0.099161
400,0.180297,0.155161
512,0.281847,0.232944
600,0.379943,0.325813
1000,1.034676,0.840213
1024,1.089618,0.881042
2000,4.148809,3.375187
2048,4.339028,3.432500
3000,9.282335,7.512356
4096,17.408600,13.509940
