N,n_newtonDefault_hessian,o_newtonDefault_hessian
10,0.2500,
32,0.2385,
50,0.2576,
64,0.2626,
100,0.2567,
128,0.2592,
200,0.2738,
250,0.2635,
256,0.2630,
300,0.2597,
400,0.2554,
512,0.2535,
600,0.2529,
1000,0.2479,
1024,0.2477,
2000,0.2485,
2048,0.2493,
3000,0.2495,
4096,0.2496,
