N,n_newtonDefault_solver,o_newtonDefault_solver
10,0.000032,0.000030
32,0.000266,0.000278
50,0.000734,0.000747
64,0.001379,0.001376
100,0.004809,0.004753
128,0.010013,0.009431
200,0.033033,0.035129
250,0.065268,0.066193
256,0.073400,0.072380
300,0.113652,0.113458
400,0.268006,0.268807
512,0.553561,0.569978
600,0.874953,0.871018
1000,5.425066,5.205931
1024,6.215281,6.055473
2000,63.283930,62.944810
2048,69.558360,69.321360
3000,227.331400,227.183100
4096,583.478900,589.937300
