N,n_newtonDefault,o_newtonDefault
10,0.2592,0.2535
32,0.2571,0.2447
50,0.2565,0.2481
64,0.2027,0.1856
100,0.0501,0.0443
128,0.1113,0.0257
200,0.1154,0.1763
250,0.1938,0.1988
256,0.2092,0.2084
300,0.2283,0.2264
400,0.2418,0.2409
512,0.2174,0.2473
600,0.2472,0.2471
1000,0.2408,0.2408
1024,0.2223,0.2515
2000,0.2085,0.2107
2048,0.2036,0.2293
3000,0.1941,0.1934
4096,0.1868,0.1941
