N,n_newtonGS_hessian,o_newtonGS_hessian
10,0.000018,0.000020
32,0.000155,0.000131
50,0.000365,0.000308
64,0.000576,0.000473
100,0.001374,0.001137
128,0.002298,0.001822
200,0.005380,0.004422
250,0.008644,0.006894
256,0.008984,0.007197
300,0.012103,0.009908
400,0.021240,0.017526
512,0.033779,0.029079
600,0.047083,0.039441
1000,0.128284,0.109970
1024,0.135144,0.115383
2000,0.512453,0.439992
2048,0.535143,0.460456
3000,1.142559,0.991457
4096,2.207675,1.840092
