N,n_newtonDefault_gradient,o_newtonDefault_gradient
10,0.2414,0.2366
32,0.2636,0.2608
50,0.2475,0.2418
64,0.2454,0.2511
100,0.2528,0.2612
128,0.2581,0.2669
200,0.2535,0.2565
250,0.2412,0.2537
256,0.2415,0.2572
300,0.2474,0.2664
400,0.2739,0.2783
512,0.2857,0.2807
600,0.2732,0.2830
1000,0.2841,0.2750
1024,0.2695,0.2748
2000,0.2758,0.2772
2048,0.2742,0.2745
3000,0.2786,0.2837
4096,0.2875,0.2949
