N,n_newtonGS_solver,o_newtonGS_solver
10,0.000126,0.000121
32,0.000774,0.000597
50,0.001813,0.001446
64,0.002873,0.002501
100,0.006796,0.032403
128,0.011463,0.010334
200,0.030259,0.027005
250,0.048363,0.040580
256,0.050839,0.042714
300,0.071934,0.060750
400,0.130207,0.109951
512,0.218237,0.176310
600,0.302902,0.258957
1000,0.872044,0.702469
1024,0.920134,0.736663
2000,3.575656,2.910058
2048,3.754433,2.945526
3000,8.061884,6.536427
4096,15.157820,11.708770
