N,n_newtonGS,o_newtonGS
10,265.2279,260.0157
32,281.1990,281.5260
50,321.3493,309.0422
64,352.1457,356.5961
100,486.9107,443.8132
128,577.1294,589.8560
200,3548.1689,3840.4443
250,5600.2124,6436.6907
256,5792.8395,6560.7535
300,6286.3707,7217.6279
400,6910.4994,8109.5780
512,7209.4597,8694.7228
600,7494.9950,8922.0815
1000,9741.0190,11786.8776
1024,9887.5614,12183.7956
2000,13506.5689,16818.4130
2048,13596.0048,16883.6566
3000,13749.5371,17192.0390
4096,13831.3641,17554.7192
