N,n_newtonDefault_hessian,o_newtonDefault_hessian
10,0.000018,0.000020
32,0.000156,0.000130
50,0.000360,0.000296
64,0.000581,0.000480
100,0.001384,0.001143
128,0.002251,0.001868
200,0.005670,0.004469
250,0.008560,0.006946
256,0.008947,0.007340
300,0.012316,0.010042
400,0.021708,0.017816
512,0.035458,0.029291
600,0.048792,0.040135
1000,0.135844,0.112241
1024,0.142106,0.116733
2000,0.540050,0.449897
2048,0.566954,0.469268
3000,1.211863,1.011252
4096,2.255309,1.875561
