N,n_newtonGS,o_newtonGS
10,0.027712,0.028061
32,0.029032,0.028834
50,0.030196,0.029885
64,0.031523,0.030933
100,0.036265,0.035336
128,0.040769,0.038209
200,0.063899,0.058756
250,0.085477,0.076096
256,0.088816,0.078211
300,0.112023,0.097097
400,0.179953,0.152135
512,0.280341,0.233656
600,0.378619,0.312484
1000,1.028782,0.845801
1024,1.084461,0.884359
2000,4.118379,3.291547
2048,4.320031,3.442660
3000,9.232206,7.351670
4096,17.407380,13.596890
