N,n_newtonDefault_solver,o_newtonDefault_solver
10,0.000032,0.000032
32,0.000270,0.000275
50,0.000724,0.000747
64,0.001343,0.001343
100,0.004675,0.004745
128,0.009639,0.009382
200,0.033658,0.033036
250,0.066134,0.066069
256,0.072962,0.071406
300,0.113699,0.113496
400,0.267238,0.267830
512,0.553287,0.569675
600,0.871657,0.869607
1000,5.205066,5.215873
1024,5.967998,5.714915
2000,63.158050,62.755500
2048,69.895690,69.457920
3000,227.034000,226.401000
4096,581.381000,587.917600
