N,n_newtonDefault,o_newtonDefault
10,0.027002,0.026878
32,0.029730,0.028543
50,0.029195,0.029069
64,0.030062,0.030029
100,0.034180,0.034183
128,0.040227,0.039405
200,0.067626,0.065902
250,0.102994,0.101257
256,0.110272,0.107340
300,0.154776,0.151854
400,0.317488,0.313880
512,0.615570,0.627266
600,0.947443,0.938132
1000,5.368707,5.358757
1024,6.133942,5.863606
2000,63.709180,63.237140
2048,70.474230,69.961040
3000,228.255900,227.445200
4096,583.608300,589.830400
